serial_no,dealer_name,state,city_district,phone,address,gst_no,board_type,width,height,qty,sqft,rate,amount,source_file
26,SHREE RAJ SHYAMA JI ENTERPRISES,,X-47 loha mandi  nariana - 110028,"9873636655, 9811041230",,07AERPG3314C1ZV,GSB,,"9873636655, 9811041230",,12x4 2pcs,,,GSB+ NLB (1).xlsx
2,M/S ENCORE CONSTRUCTION & HARDWARE,,UDHAMPUR,9906386465.0,,01CMZPN0262J1ZT,NLB,,9906386465.0,,20x5,,,GSB+ NLB (1).xlsx
28,Chauhan Trading Co.,,Jwala ji Police Station,821 930 7129,,02DKPS5352A1Z6,GSB,,821 930 7129,,10x3,,,GSB+ NLB (1).xlsx
27,Chand Steel,,Sanji More,9419105222.0,,01AEBPR5766B3ZS,GSB,,9419105222.0,,15X4 2PCS,,,GSB+ NLB (1).xlsx
25,N d traders,,Lale Da Bagh (Sangrampur),"9070073757, 
7006434837",,01CMIPS1651P2ZP,GSB,,"9070073757, 
7006434837",,20x10 1pcs,,,GSB+ NLB (1).xlsx
9,KABRA IRON AGENCIES,,"SARDARPURA, JODHPUR, 342001","9829028700, 9928323035",,08ACAPK9721G1ZN,NLB,,"9829028700, 9928323035",,20x5 1pcs,,,GSB+ NLB (1).xlsx
6,R B TRADERS,,GANGANAGAR,7023333704.0,,08AAWFR6726Q2ZY,GSB,,7023333704.0,,18X4 2PCS,,,GSB+ NLB (1).xlsx
7,BALAJI IRON TRADERS,,JODHPUR,9166778101.0,,08AEWPT7063E1ZT,GSB,,9166778101.0,,10x4 1pcs,,,GSB+ NLB (1).xlsx
8,ROYAL STEEL,,Phalodi,9610300786.0,,08ACFPL7487H1Z4,GSB,,9610300786.0,,20X4 3PCS,,,GSB+ NLB (1).xlsx
10,BITLA STEEL SALES CORPORATION,,LUDHIANA,9814925347.0,,03ASMPS5941M1ZW,GSB,,9814925347.0,,19.5x5 1pcs,,,GSB+ NLB (1).xlsx
12,PARAS RAJ INDUSTRIES,,UDAIPUR,6376871284.0,,08ALXPK5164H2ZH,GSB,,6376871284.0,,20x4 1pcs,,,GSB+ NLB (1).xlsx
13,KASUBHAIWALA STEELS,,Bhinder,"9829795710, 9414830967",,08ABYPB2190F1ZJ,GSB,,"9829795710, 9414830967",,15x5 1pcs,,,GSB+ NLB (1).xlsx
13,KASUBHAIWALA STEELS,,Bhinder,"9829795710, 9414830967",,08ABYPB2190F1ZJ,NLB,,"9829795710, 9414830967",,15X4 2PCS,,,GSB+ NLB (1).xlsx
14,SHREE SHYAM BUILDING MATERIAL SUPPLIER,,Ratangarh,7908126002.0,,08CPXPS3627B1ZG,NLB,,7908126002.0,,15X4 2PCS,,,GSB+ NLB (1).xlsx
15,M.H BOHRA ENTERPRISES PRIVATE LIMITED,,KOTA,90244 63937,,08AAGCM8317D1ZI,NLB,,90244 63937,,"19X3 2PCS
20X3 1PCS",,,GSB+ NLB (1).xlsx
16,BANDOOKWALA ISPAT PRIVATE LIMITED,,UDAIPUR,9982096952.0,,08AACCB5831D1Z0,GSB,,9982096952.0,,20x4 1pcs,,,GSB+ NLB (1).xlsx
17,NEEL KANTH STEEL,,JODHPUR,9414188424.0,,08BEQPP9903L1ZM,GSB,,9414188424.0,,15X4 2PCS,,,GSB+ NLB (1).xlsx
18,Mahadev Building Material,,JODHPUR,"9460662851, 9413849661",,08BJNPR5844L1ZC,GSB,,"9460662851, 9413849661",,20X4 2PCS,,,GSB+ NLB (1).xlsx
21,Steel Point,,Banswara,9828180990.0,,08ABLFS6481K1ZF,GSB,,9828180990.0,,15X4 2PCS,,,GSB+ NLB (1).xlsx
1,SINGHAL IRON AND HOUSING SOLUTIONS,,Muradabad,9899000278,E- 10 Sector 1 New Muradabad 2440001,09AUTPS9926N1Z7,,,9899000278,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
2,Maa Durga construction,,lucknow,8127098888,"Kumau Chauk, Khargapur Gomti Nagar Vistar Lucknow",09CWIPM4793G1ZY,,,8127098888,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
3,Ankit Builtech Construction,,lucknow,9335454244,"73 A, Bharawara Nikat Malhaur Railway Station Main Road Lucknow",09AAFCA4167Q2Z1,,,9335454244,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
4,Shiva Steels,,lucknow,9935481854,"Faizabad Road Chinhat, Lucknow",09ADNPA7308K1ZC,,,9935481854,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
5,Arth Steels,,lucknow,9415137494,"Plot No. KH 500 and 503 Kursi Road , Basaha Lucknow",09AIDPG6725H1Z9,,,9415137494,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
6,Tara Chand Steel,,lucknow,9670826408,Mausam Bag Sitapur Road Lucknow,09ACMPA1728M1ZF,,,9670826408,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
7,Agrawal Lime Stores,,lucknow,"9453198081, 7080377387",Faizabad Road Opp. Aara Machine Daliganj Lucknow,09AAWPA3825H1ZI,,,"9453198081, 7080377387",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
8,Vee Vee Enterprises,,lucknow,9554822224,Mill Road Aishbag Lucknow,09AALPA5624K12L,,,9554822224,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
,Ram Bali & Sons,,Kanpur,9415129878,85/48 B Jhakar Kati Rd Koparganj Kanpur Nagar,09AAAFR9389R1Z0,,,9415129878,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
11,Nisha Steels,,Kanpur,9838833177,Kanpur,09ACVPV4805H1ZW,,,9838833177,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
12,M/s Ravi Traders,,Gautam Budh Nagar,"9899298008, 9811984518","Kesh Ram Market Main Dadri Road , Vill- Suthiyana Greater Noida Gautam Budh Nagar",09AQOPP7480P1ZM,,,"9899298008, 9811984518",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
13,Rohit Cement Agency,,GAUTAM BUDDHA NAGAR,"9350066460, 9310009345",Sector – 82 Gejha,09APLPA9770R1ZX,,,"9350066460, 9310009345",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
15,Singhal Enterprises,,Agra,"9411002531, 9997724292","Mulla Ki Pyau, Dhanoli Agra",09BDQPS8247D1ZX,,,"9411002531, 9997724292",,,,120,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
16,R.S. Building Material & Iron Store,,Agra,"8077142593, 9457250121","Infront Of D.V. Hospital Dhanauli, Agra",09BECPT2784K1ZV,,,"8077142593, 9457250121",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
17,Shri Bala ji Trading Co.,,Aligarh,9412733995,Aligarh,09CKTPG0833Q1ZF,,,9412733995,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
20,Rathore Traders,,Bareilly,"9259850809, 9259898759","97, Budaun Road Kandharpur, Bareilly",09DGUPS2873G1ZJ,,,"9259850809, 9259898759",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
21,Gaurimal Raghunandan Prasad & Sons,,Bareilly,"7017709324, 9927053707",Koharapeer Nainital Raod Bareilly,09AECPK1970M1Z7,,,"7017709324, 9927053707",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
22,M/s Sai Enterprises & M/s Jay Ambe Traders,,Bareilly,"9719854821, 8630706008, 9219715674","Infront of Golden Green Park Gate , Bisalpur Road Harungala Bareilly",09AYEPP3459L1ZT,,,"9719854821, 8630706008, 9219715674",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
23,Anil Building Store,,Bareily (Bisalpur),9871903895,Near Bus Stand Bisalpur,09AGFPA0372G1ZT,,,9871903895,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
24,Khandelwal Iron Udyog,,Ayodhya,9415145731,"Paharganj,Raibareilly Road,",09ADRPK0447M1Z0,,,9415145731,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
25,Amay Enterprises,,Hardoi,9415149742,Hardoi,09BAWPS2813L2ZV,,,9415149742,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
26,India Steel Sales,,Lucknow,"9415103422, 9554025099",Purani Chungi Kanpur Road Lucknow,09ADIPB0194M1ZE,,,"9415103422, 9554025099",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
27,Raj Trading Co.,,Aligarh,"9412274917, 9668500088",Etah Chungi G.T. Road Aligarh,09ABUPL7439B1Z9,,,"9412274917, 9668500088",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
28,Pandey Trading Company,,GONDA,9140988843,Ayudhya Road Gonda,09BWMPT7715C1Z4,,,9140988843,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
29,Shri Shyam Steel Company,,Siddharth Nagar,7408419999,Tharouli Near Power House Tetari Bazar Naugarh Siddharth Nagar,09CZIPA3567R1ZN,,,7408419999,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
30,Garg & Associates,,Gorakhpur,"8601855990, 9794115525",Suba Bazar Gorakhpur,09AANFG4646F1Z5,,,"8601855990, 9794115525",,,,36,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
31,Mahaveer Enterprises & Building Material,,Deoria,"9918505235, 8115110918",Deoria,09ARMPJ0760H1ZO,,,"9918505235, 8115110918",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
32,Shri Ambe Traders,,Deoria,9415827791,Kasiya Road Deoria,09BDIPS9799G1ZG,,,9415827791,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
33,Jaiswal Steel corporation,,Gorakhpur,9129205444,Transport Nagar Gorakhpur (U.P.),09AICPJ5899C1Z0,,,9129205444,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
34,Mahaveer Traders,,Gorakhpur,9795404950,Gola Bazar Gorakhpur,09BIWPJ1508B1ZB,,,9795404950,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
35,M/s Jain Steel House,,Amroha,8218963200,Near Bhanpur Railway Crossing Ganga Nagar Gajraula Amroha,09AGTPJ4440Q2ZJ,,,8218963200,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
36,Shukla ji Traders,,Azamgarh,"7007363391, 7007483433",Lachhirampur Azamgarh,09JVDPS3226P1ZR,,,"7007363391, 7007483433",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
37,Vaishnavi Trading Corporation,,lucknow,9415755778,"Aashiana , Lucknow",09AFMPA5933R1ZS,,,9415755778,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
38,Keshav Steel,,Varanasi,9519815333,Varanasi,09AAQFK4385A1Z4,,,9519815333,,,,135,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
39,Mishra Building Solutions,,Varanasi,7007599046,"Sadar Banwaripur, Varanasi",09ANIPD0592P2ZI,,,7007599046,,,,90,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
40,Shri Bala ji Enterprises,,Samli,9520300100,Bhainswal Road Samli,09AXHPG2128B2ZX,,,9520300100,,,,30,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
41,Gaba Trading company,,Saharanpur,8279982168,Ankit Vihar Coloni Saharanpur,09CZKPG7895J1ZG,,,8279982168,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
42,Singh Traders,,Prayagraj,7724860024,Kazipur Road Naini Prayagraj,09EIPPS4184C1ZQ,,,7724860024,,,,90,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
43,M/S SHASHI TRADING COMPANY,,Bulandshahr,9897024250,Dipti Ganj Buland Shahar,09ATWPG5854B1ZC,,,9897024250,,,,78,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
44,M/S POOJA HARDWARE & STEEL CORPORATION,,BIJNOR,9917000016,Najibabad,09ADDPK3341C1ZO,,,9917000016,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
45,Gautam Steel & Building Material,,BulandShahar,8923008971,Transport Nagar BulandShahar,09DSJPK9826G1Z6,,,8923008971,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
46,Kesharvani Steels & Senetry,,Balrampur,"7905070278, 9415120906",Bahraich Road Nikat Tahasil Balrampur,09AAAHU5964K1ZI,,,"7905070278, 9415120906",,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
47,M/s Samiksha & Sidhi Enterprises,,Maharajganj,9451213660,Chhatriram Partawal Bazar Mahrajganj Road Mahrajganj,09BCPPP5805G1Z7,,,9451213660,,,,,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
48,Flat World Inframart,,Gaziabad,"9990202424, 9999102424",C 232 Bs Road Indestrial Area Gaziabad,09AAJFF0351J1ZF,,,"9990202424, 9999102424",,,,216,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
49,Keshari Bhandar,,Narayanpur,9580127502,Narayanpur,09AAGFK4741C1ZI,,,9580127502,,,,88,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
50,M/S SAWARIYA P DEPO,,Sonbhadra,9918123485,Obra,09BGDPB9358N1ZU,,,9918123485,,,,88,JSW GSB NLB Board FINAL 22 jan 2026 (3).xlsx
,Sr.no.,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,1,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,2,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,3,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,4,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,5,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,6,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,7,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,8,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,9,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,10,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,11,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,12,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,13,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,14,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,15,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,16,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,17,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,18,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
,19,,,,,,,,,,,,,"JSW One Tmt Dealer GSB ,NLB Installation 8 July 2025.xlsx"
